generation,best_km,mean_km,median_km
1,18910.2245,39775.8781,41683.1925
2,18910.2245,31588.0269,30833.5779
3,18910.2245,27763.0891,27818.8299
4,18910.2245,26589.2435,26305.4012
5,16850.9689,25728.6745,25563.6214
6,16850.9689,24795.9869,24467.3247
7,16850.9689,25069.885,24724.0856
8,16850.9689,25209.9842,25230.2732
9,16850.9689,25746.228,25766.7034
10,16850.9689,25692.0574,25901.166
11,16850.9689,25283.977,25155.337
12,16850.9689,24752.1568,24382.0752
13,16769.6193,25495.6077,25966.3509
14,16769.6193,24732.356,24644.4166
15,16769.6193,24533.0608,24842.6372
16,16769.6193,24511.526,24903.6489
17,16769.6193,23511.5101,23462.9522
18,16769.6193,23251.5284,23413.8094
19,16769.6193,24254.9843,24677.1397
20,16769.6193,24908.7194,25006.9174
21,16769.6193,24965.792,24540.5025
22,16769.6193,24905.2413,24527.3609
23,16769.6193,24968.532,24259.3533
24,16769.6193,24764.2104,24673.9232
25,16769.6193,24651.9329,24647.0965
26,16769.6193,24837.3896,24851.4868
27,16769.6193,25076.0896,24526.9932
28,16769.6193,24770.4848,24909.4442
29,16769.6193,25001.7274,24928.5123
30,16769.6193,24518.4709,24503.5913
31,16769.6193,25820.5987,25851.8458
32,16769.6193,26113.2326,26911.002
33,16062.8272,25484.723,25180.6165
34,16062.8272,24905.1297,24691.6112
35,16062.8272,24870.7167,24657.0655
36,16062.8272,24584.094,24560.9086
37,16062.8272,25274.1529,25080.1711
38,16062.8272,24913.8455,24937.8011
39,16062.8272,25606.9099,25835.5242
40,16062.8272,26555.5879,26684.4326
41,16062.8272,26728.3785,26335.5578
42,16062.8272,27310.0887,27306.3344
43,16062.8272,26881.591,26708.4633
